repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
celts,479,Fixed and refactored test_events.py,AndersonStettner,User,closed,False,2022-07-15 15:01:06+00:00,2022-07-15T16:13:47Z,2022-07-15 16:13:44+00:00,2022-07-15 16:13:44+00:00,True,,,224,212,3,8,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/479,1.2105555555555556,0.05043981481481482,False,True
celts,482,Course proposal dropdown functionality 441,bledsoef,User,closed,False,2022-07-15 18:28:19+00:00,2022-07-19T15:03:42Z,2022-07-19 15:03:39+00:00,2022-07-19 15:03:39+00:00,True,,,247,75,11,11,1,25,https://github.com/BCStudentSoftwareDevTeam/celts/pull/482,92.58888888888889,3.8578703703703705,False,True
celts,483,Issue#454 edit program settings,qasema,User,closed,False,2022-07-15 19:05:53+00:00,2022-07-22T18:12:20Z,2022-07-22 18:12:17+00:00,2022-07-22 18:12:17+00:00,True,,,47,41,5,17,1,11,https://github.com/BCStudentSoftwareDevTeam/celts/pull/483,167.10666666666665,6.962777777777777,False,True
celts,484,Cleaned up staff and admin program selection/view 376,bledsoef,User,closed,False,2022-07-15 20:32:47+00:00,2022-07-18T23:47:09Z,2022-07-18 23:47:06+00:00,2022-07-18 23:47:06+00:00,True,,,14,10,1,4,0,2,https://github.com/BCStudentSoftwareDevTeam/celts/pull/484,75.23861111111111,3.13494212962963,False,True
celts,486,Update phone#478,qasema,User,closed,False,2022-07-18 13:37:55+00:00,2022-07-21T21:39:14Z,2022-07-21 21:39:10+00:00,2022-07-21 21:39:10+00:00,True,,,30,3,3,11,0,6,https://github.com/BCStudentSoftwareDevTeam/celts/pull/486,80.02083333333333,3.334201388888889,False,True
celts,487,Display upcoming events 408,Boorclark,User,closed,False,2022-07-18 13:58:54+00:00,2022-07-20T13:24:48Z,2022-07-20 13:24:43+00:00,2022-07-20 13:24:43+00:00,True,,,20,20,4,7,0,4,https://github.com/BCStudentSoftwareDevTeam/celts/pull/487,47.430277777777775,1.9762615740740739,False,True
celts,488,Reduced Queries for Service Learning Course Proposals ,Boorclark,User,closed,False,2022-07-18 15:41:56+00:00,2022-07-19T00:32:25Z,2022-07-19 00:32:22+00:00,2022-07-19 00:32:22+00:00,True,,,12,7,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/488,8.840555555555556,0.3683564814814815,False,True
celts,489,Fixing test_userManagement ,AndersonStettner,User,closed,False,2022-07-18 16:35:37+00:00,2022-07-20T13:29:28Z,2022-07-20 13:29:24+00:00,2022-07-20 13:29:24+00:00,True,,,182,170,10,10,0,4,https://github.com/BCStudentSoftwareDevTeam/celts/pull/489,44.896388888888886,1.8706828703703702,False,True
celts,490,Minor example code removal,zachneill,User,closed,False,2022-07-18 20:44:12+00:00,2023-05-10T14:23:25Z,2022-07-22 15:53:06+00:00,,False,,,3,3,2,2,0,3,https://github.com/BCStudentSoftwareDevTeam/celts/pull/490,,,True,False
celts,501,Fixed spelling and added a conditional in jinja,Boorclark,User,closed,False,2022-07-19 16:01:11+00:00,2022-07-19T16:36:45Z,2022-07-19 16:36:41+00:00,2022-07-19 16:36:41+00:00,True,,,5,3,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/501,0.5916666666666667,0.024652777777777777,False,True
celts,507,Changed instances of managment to management,bledsoef,User,closed,False,2022-07-19 17:15:47+00:00,2022-07-19T18:29:12Z,2022-07-19 18:23:17+00:00,2022-07-19 18:23:17+00:00,True,,,2,2,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/507,1.125,0.046875,False,True
celts,508,Added Conditional to Fix Invalid Privilege's Issue,Boorclark,User,closed,False,2022-07-19 17:42:30+00:00,2022-07-19T18:11:09Z,2022-07-19 18:11:05+00:00,2022-07-19 18:11:05+00:00,True,,,18,12,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/508,0.47638888888888886,0.019849537037037037,False,True
celts,511,Service Learning Course Proposal Extra Page Pop-up,mohamudm1,User,closed,False,2022-07-19 19:53:47+00:00,2023-05-10T14:23:26Z,2022-07-19 19:56:26+00:00,,False,,,179,33,9,32,1,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/511,,,True,False
celts,512,Service Learning Course Proposal Extra Page Pop-up ,mohamudm1,User,closed,False,2022-07-19 20:16:43+00:00,2022-07-20T13:32:31Z,2022-07-20 13:32:28+00:00,2022-07-20 13:32:28+00:00,True,,,4,2,1,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/512,17.2625,0.7192708333333333,False,True
celts,513,Fixed ban and unban tests in test_users.py file ,AndersonStettner,User,closed,False,2022-07-19 20:17:07+00:00,2022-07-20T13:41:07Z,2022-07-20 13:41:04+00:00,2022-07-20 13:41:04+00:00,True,,,10,27,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/513,17.399166666666666,0.7249652777777778,False,True
